Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
A la recherche d’un poste en Data Science / Data Engineering,France entière,immédiate,"Logiciels de gestion de base de données
Programmation en Python
Réaliser un modèle de prévision
Adapter les outils de traitement statistique de données
Utilisation de logiciels statistiques","
Consultant data scientist

|
Micropole (Levallois)","Algorithmique
(Intermédiaire)
Analyse de données expérimentales
(Avancé)
Big data Analytics
(Intermédiaire)
Déploiement de services cloud (cloud computing)
(Débutant)
Économétrie
(Intermédiaire)
Insights marketing
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation statistique
(Avancé)
Programmation en Python
(Intermédiaire)
Utilisation de logiciels statistiques
(Avancé)"
Nouveau diplômé d'un Master en Gouvernance des Donnée | Aspirant Data Analyst,France entière,immédiate,"Règlement Général européen sur la Protection des Données (RGPD)
Systèmes d'information de gestion
Business Intelligence (BI) / Informatique décisionnelle
Gestion de bases de données NoSQL
Programmation en Python","
Stagiaire en tant que Data analyste

|
Hôtel Restaurant du Palais des Papes (Avignon)","Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Gestion de bases de données NoSQL
(Intermédiaire)
Google Analytics
Langages de programmation informatique
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
MySQL
(Intermédiaire)
PHP
(Intermédiaire)
Programmation en Python
(Intermédiaire)
Questions juridiques
SharePoint
Suite bureautique - LibreOffice
Système d'exploitation informatique Open BSD
Systèmes d'information de gestion
Systèmes de gestion de base de données
(Intermédiaire)
XML"
Data Scientist & Data Analyst,France entière,immédiate,"Lire et interpréter des données et documents techniques au besoin en anglais
Modélisation statistique
Programmation en Python
Réaliser un modèle de prévision
R","
Stagiaire Data scientist

|
Deeptimize ","Gantt Project (Gestion)
(Avancé)
Gestion de bases de données NoSQL
(Avancé)
Gestion de versions de logiciels de jeux
(Avancé)
JIRA
(Avancé)
Modélisation et simulation
Modélisation statistique
Programmation en Python
Suite bureautique - LibreOffice
(Intermédiaire)"
A la recherche d'un poste d'épidémiologiste ou de data manager,France entière,immédiate,"Analyser, exploiter, structurer des données
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
Diriger des travaux de recherche (thèse, mémoire d'études...)
Langages de programmation informatique
Rédiger une publication scientifique","
Economie de la santé

|
Bac+5 et plus ou équivalents","Analyser, exploiter, structurer des données
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données"
Développeur informatique /,France entière,immédiate,"Système d'exploitation informatique Android
Informatique
Langages de programmation informatique","
Technicien Support

|
IT CENTER Altice Media (BFMTV et RMC)  (Paris 75)","Algorithmique
(Avancé)
Analyse de données expérimentales
(Avancé)
Application web
(Intermédiaire)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Conception et analyse d'enquête
(Avancé)
Gestion des configurations
(Avancé)
Informatique
(Avancé)
Langages de programmation informatique
(Avancé)
Logiciel de gestion clients
(Avancé)
Réseaux informatiques et télécoms
(Avancé)
Script Shell
(Avancé)
Système d'exploitation informatique Android
(Intermédiaire)
Système d'exploitation informatique Sun OS
(Intermédiaire)
Système d'exploitation informatique VirtualBox
(Intermédiaire)
Système d'exploitation Linux
(Intermédiaire)
Système d'exploitation Windows
(Intermédiaire)"
Directeur commercial / Directrice commerciale B to B et B to C,France entière,immédiate,,"
DIRECTRICE DE BUSINES UNIT

|
LEADER'S LEAGUE  (PARIS)","Déterminer le potentiel d'un client ou prospect
Développer et fidéliser la relation client
Élaborer une stratégie commerciale
Mettre en oeuvre une stratégie commerciale
Réaliser une veille de marché, une veille concurrentielle"
Looking for a job as Business and Management consultant,France entière,immédiate,"Assurer la gestion administrative d'une activité
Conduire des travaux d'études et de recherche
Gérer les ressources humaines
Recueillir et analyser les besoins client","
MASTER OF SCIENCE IN INTERNATIONAL MANAGEMENT

|
Bac+5 et plus ou équivalents","Assister la maîtrise d'ouvrage
Concevoir l'ingénierie de formation et les séquences pédagogiques
Conseiller des entreprises
Conseiller une structure dans la gestion de son activité
Enseigner, transmettre des connaissances, développer des compétences"
Reconversion Test logiciel,France entière,immédiate,"Analyser, exploiter, structurer des données
Communiquer auprès de ses clients internes et externes
Finance
Gestion de bases de données NoSQL
Parler une ou plusieurs langues étrangères","
DATA MANAGEMENT FOR FINANCE

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Anglais technique
Comptabilité générale
Finance
Gestion de bases de données NoSQL
Gestion des relations clientèle
Programmation en Python
Systèmes d'information de gestion"
"Directrice Marketing, Communication & Projets digitaux",France entière,immédiate,,"
Responsable marketing et communication

|
RX France","Élaborer un plan marketing, une stratégie de marque et de communication
(Avancé)
Mener une campagne d'e-mailing
(Intermédiaire)
Participer aux phases créatives d'un projet marketing"
INTERNATIONAL RELATIONS ANALYST & PROJECT MANAGER,France entière,immédiate,,"
DOCTORAT SCIENCESPO PARIS ""SCIENCE POLITIQUE/RI"" en préparation

|
Bac+5 et plus ou équivalents","Anthropologie
Économie
Logiciel de traitement de texte
(Intermédiaire)
Sciences politiques
Typographie
Utilisation de logiciels de tableur
(Intermédiaire)"
Je suis à la  recherche active d'une opportunité professionnelle pour mettre en pratique ma passion de la gestion de projets et contribuer au succès d'une équipe dynamique.,France entière,immédiate,"Être à l'écoute, faire preuve d'empathie
Faire preuve de leadership
Prendre des initiatives et être force de proposition
S'adapter aux changements
Travailler en équipe","
Manager Opérationnel des Activités 

|
Bac+5 et plus ou équivalents","Connaissances en techniques de communication, technologies de l'information, Internet, vidéo, réseaux sociaux (LinkedIn, Twitter…), multimédia
Gestion budgétaire
Maîtrise des logiciels de création et d'édition graphique (PAO [Publicité assistée par ordinateur]) : Photoshop, Illustrator, InDesign
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)"
Technologies & Applications Spatiales,France entière,immédiate,"Élaborer des processus et des modes opératoires techniques
Évaluer la mise en œuvre d'un projet, d'un plan d'action
Identifier les contraintes d'un projet
Structurer, synthétiser des informations
Anglais","
Observation de la Terre, Telecom & Navigation par satellite

|
Bac+5 et plus ou équivalents","Anglais niveau avancé B2
Langages de programmation informatique
Modélisation et simulation
Sciences physiques"
Diplômé en septembre 2024 avec une spécialisation en science des données. Expérience en IA générative et modélisation prédictive pour l'industrie.,France entière,immédiate,"Autonomie
Gestion de projet
Anglais","
Data Scientist Intern

|
Amadeus (Nice)","Français
Gestion de versions de logiciels de jeux
Nuke
Programmation en JavaScript
Programmation en Python"
Reconversion dans l'analyse de données.,France entière,immédiate,,"
Data Anlyst (OpenClassrooms)

|
Bac+3, Bac+4 ou équivalents","Analyse de données expérimentales
(Intermédiaire)
Conception et analyse d'enquête
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Logiciels de gestion de base de données
(Intermédiaire)
Modélisation statistique
(Avancé)"
Ingénieur en données diplomée doublée d'une développeuse web experimentée.,France entière,immédiate,,"
Microsoft Certified : Azure Fundamentals
","Algorithmique
Anglais technique
Application des méthodes de machine learning dans BI
Architecture web
CSS
Déploiement de services cloud (cloud computing)
Docker
Framework Spring
Génie logiciel
Gestion de versions de logiciels de jeux
HTML
Informatique scientifique et technique
Intelligence artificielle
Java
Kubernetes
Langages de programmation informatique
Maîtrise d'un outil de gestion de flux (Kafka, Flink…)
Microsoft Exchange Server
MySQL
Node.js
Outil Maven
Programmation en Python
Programmation logicielle
Scala
Search Engine Marketing (SEM)
Sécurité physique des datacenters
SharePoint
Système d'exploitation Linux
Technologies SPARK (Framework)"
Chef de Produit Junior,France entière,immédiate,,"
DATA ANALYTICS & MANAGEMENT MRKETING

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Analyser un marché
Élaborer un plan marketing, une stratégie de marque et de communication
Réaliser une veille de marché, une veille concurrentielle"
Consultant / Analyste financier,France entière,immédiate,"Analyse et sélection de fonds OPCVM
Corporate finance
Evaluation d'entreprise
Modélisation financière
Anglais","
Certification SAGE 100 Cloud - Comptabilité Finance

|
Bac+5 et plus ou équivalents",Prendre une décision et l'expliquer
Trained physicist looking for a jobs in fundamental physics research and machine learning applications,France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de rigueur et de précision
Travailler en équipe
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
Réaliser et vérifier des calculs de mathématiques généraux ou appliqués",,"Analyser, exploiter, structurer des données
(Avancé)
Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
(Avancé)"
"Ingénierie Informatique, traitement d’image et sur les transports.",France entière,immédiate,"Faire preuve de curiosité
Faire preuve de persévérance
Travailler en équipe","
Doctorat en transports ferroviaires

|
Bac+5 et plus ou équivalents","Algorithmique
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
CSS
(Débutant)
Géographie des transports
(Avancé)
Gestion des configurations
HTML
(Débutant)
Informatique industrielle
Informatique scientifique et technique
(Avancé)
Java
(Intermédiaire)
Langage C++
(Débutant)
Langages de programmation informatique
(Intermédiaire)
Pascal
(Intermédiaire)
PHP
(Débutant)
Programmation en Python
(Avancé)
Programmation logicielle
Script Shell
(Avancé)
Systèmes d'exploitation informatique
Systèmes d'information de gestion
(Intermédiaire)
Systèmes de gestion des transports (Transport Management System - TMS)
(Intermédiaire)
Technologies de l'accessibilité numérique"
"Game designer, 3C designer, System designer",France entière,immédiate,,"
Mastère en Game Design à Isart Digital à Paris

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe",Ecrire une ou plusieurs langues étrangères
chef de projet digital,France entière,immédiate,"de growth hacking
Figma
Méthodologie Scrum
Optimisation des processus d'atelier
Techniques de marketing digital","
Master Pstb: Ia&business Transformation

|
Bac+5 et plus ou équivalents","Architecture web
(Débutant)
Blockchain
(Intermédiaire)
Connaissances en techniques de communication, technologies de l'information, Internet, vidéo, réseaux sociaux (LinkedIn, Twitter…), multimédia
(Intermédiaire)
CSS
(Intermédiaire)
Écriture de scénario
(Intermédiaire)
Gestion de données
(Avancé)
Google Analytics
(Intermédiaire)
HTML
(Avancé)
Java
(Intermédiaire)
Microsoft Dynamics CRM
(Avancé)
Module logiciel
(Intermédiaire)
Pratique du basket-ball
(Avancé)
Pratique du football
(Avancé)
Pratique du golf
(Avancé)
Pratique du tennis
(Avancé)
Programmation en Python
(Avancé)
Salesforce
(Intermédiaire)
Suite bureautique - LibreOffice
(Intermédiaire)
WordPress (CMS)
(Intermédiaire)"
